state,city,county,zip_code,longitud,latitude
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03016,"-0,472306","38,355389"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03006,"-0,524194","38,344000"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03007,"-0,540083","38,340167"
ALICANTE,ALICANTE/ALACANT,MORALET,03699,"-0,565444","38,411500"
ALICANTE,ALICANTE/ALACANT,BACAROT (EL),03114,"-0,538472","38,344139"
ALICANTE,ALICANTE/ALACANT,MORALET,03699,"-0,565972","38,411000"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03112,"-0,488194","38,378083"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03011,"-0,486611","38,370083"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03006,"-0,545111","38,343611"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03010,"-0,487889","38,355528"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03012,"-0,483944","38,358556"
ALICANTE,ALICANTE/ALACANT,SANTA FAZ,03559,"-0,447417","38,386250"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03112,"-0,477750","38,401000"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03009,"-0,508861","38,376194"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03013,"-0,476750","38,357000"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03004,"-0,487472","38,351361"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03006,"-0,523167","38,344944"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03009,"-0,499444","38,375333"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03010,"-0,494306","38,364222"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03006,"-0,522944","38,344611"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03009,"-0,497500","38,370222"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03009,"-0,504722","38,377722"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03011,"-0,498972","38,375972"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03114,"-0,564806","38,339667"
ALICANTE,ALMORADÍ,ALMORADI,03160,"-0,796528","38,099361"
ALICANTE,ALMORADÍ,ALMORADI,03160,"-0,788750","38,115139"
ALICANTE,ALMORADÍ,ALMORADI,03160,"-0,781472","38,103833"
ALICANTE,ALMORADÍ,ALMORADI,03160,"-0,781806","38,123556"
ALICANTE,ALMORADÍ,ALMORADI,03160,"-0,797083","38,104778"
ALICANTE,ALTEA,ALTEA,03590,"-0,064694","38,586556"
ALICANTE,ALTEA,ALTEA,03590,"-0,078472","38,605917"
ALICANTE,ALTEA,ALTEA,03590,"-0,048611","38,604722"
ALICANTE,ALTEA,ALTEA LA VELLA,03599,"-0,038500","38,626750"
ALICANTE,ASPE,ASPE,03680,"-0,774111","38,336722"
ALICANTE,ASPE,ASPE,03680,"-0,770917","38,358167"
ALICANTE,ASPE,ASPE,03680,"-0,772833","38,355500"
ALICANTE,ASPE,ASPE,03680,"-0,767139","38,325917"
ALICANTE,ASPE,ASPE,03680,"-0,772361","38,356306"
ALICANTE,ASPE,ASPE,03680,"-0,772639","38,354028"
ALICANTE,ASPE,ASPE,03680,"-0,770417","38,356139"
ALICANTE,BANYERES DE MARIOLA,BANYERES DE MARIOLA,03450,"-0,671194","38,720111"
ALICANTE,BANYERES DE MARIOLA,BANYERES DE MARIOLA,03450,"-0,664056","38,715917"
ALICANTE,BENEIXAMA,BENEIXAMA,03460,"-0,771194","38,698000"
ALICANTE,BENEIXAMA,BENEIXAMA,03460,"-0,767750","38,701889"
ALICANTE,BENEJÚZAR,BENEJUZAR,03390,"-0,843056","38,076944"
ALICANTE,BENIDORM,BENIDORM,03502,"-0,134139","38,541722"
ALICANTE,BENIDORM,BENIDORM,03503,"-0,102722","38,543139"
ALICANTE,BENIDORM,BENIDORM,03501,"-0,134444","38,559583"
ALICANTE,BENIDORM,BENIDORM,03501,"-0,162250","38,533639"
ALICANTE,BENIDORM,BENIDORM,03501,"-0,101500","38,557694"
ALICANTE,BENIDORM,BENIDORM,03501,"-0,101917","38,558056"
ALICANTE,BENILLOBA,BENILLOBA,03810,"-0,386472","38,698833"
ALICANTE,BENISSA,BENISSA,03720,"0,046556","38,713389"
ALICANTE,BENISSA,BENISSA,03720,"0,105778","38,677722"
ALICANTE,BENISSA,BENISSA,03720,"0,059389","38,718611"
ALICANTE,BENISSA,BENISSA,03720,"0,060556","38,719222"
ALICANTE,BENISSA,BENISSA,03720,"0,060194","38,718139"
ALICANTE,BENISSA,BENISSA,03720,"0,076579","38,726757"
ALICANTE,BENITACHELL/POBLE NOU DE BENITATXELL (EL),BENITACHELL,03726,"0,152139","38,738972"
ALICANTE,BIAR,BIAR,03410,"-0,786556","38,630583"
ALICANTE,BIGASTRO,BIGASTRO,03380,"-0,885222","38,059194"
ALICANTE,BUSOT,BUSOT,03111,"-0,424194","38,477806"
ALICANTE,CALLOSA DE SEGURA,CALLOSA DE SEGURA,03360,"-0,867333","38,125694"
ALICANTE,CALLOSA DE SEGURA,CALLOSA DE SEGURA,03360,"-0,861861","38,127750"
ALICANTE,CALLOSA DE SEGURA,CALLOSA DE SEGURA,03360,"-0,927583","38,143139"
ALICANTE,CALLOSA D'EN SARRIÀ,CALLOSA D'EN SARRIA,03510,"-0,121194","38,649500"
ALICANTE,CALPE/CALP,CALPE,03710,"0,050278","38,645444"
ALICANTE,CALPE/CALP,CALPE,03710,"0,040556","38,646306"
ALICANTE,CALPE/CALP,CALPE,03710,"0,041750","38,646306"
ALICANTE,CALPE/CALP,CALPE,03710,"0,037306","38,653028"
ALICANTE,CALPE/CALP,CALPE,03710,"0,037806","38,652972"
ALICANTE,CAMPELLO (EL),CAMPELLO (EL),03560,"-0,401389","38,424083"
ALICANTE,CAMPELLO (EL),CAMPELLO (EL),03560,"-0,393167","38,418806"
ALICANTE,CAMPELLO (EL),CAMPELLO (EL),03560,"-0,406444","38,424639"
ALICANTE,CAMPELLO (EL),CAMPELLO (EL),03560,"-0,373611","38,450167"
